# 경추ROM측정 — 상급·평가 나레이션 문구
#
# 상급·평가는 CSV voiceInstruction을 통째로 무시하고 stepName 클립만 재생한다.
# 그래서 문구를 따로 쓴다. 원칙은 '수행 방법 미고지' —
#   · 무엇을 할 단계인지만 말하고, 어떻게 하는지는 말하지 않는다.
#   · 파지 부위, 시술자 위치, 관찰 포인트, 각도 기준을 넣지 않는다.
#   · 방향(굴곡·좌/우)은 뺄 수 없다. 어느 방향을 재는지 모르면 평가 자체가 성립하지 않는다.
#   · step당 1회만 재생되므로 한 문장으로 끝낸다.
#
# 형식: stepName|문구
# 생성: generate.py 경추ROM측정 --map Docs/나레이션_상급평가문구_경추ROM측정.txt --levels Advanced --write
#      (Evaluation은 Advanced와 바이트 동일 파일로 복사한다)

# ── 진찰 전 준비 ──
문진|문진과 안전 확인을 하세요.
설명동의|환자에게 평가를 설명하고 동의를 받으세요.
자세정렬|시작 자세를 정렬하세요.

# ── 동작1 시상면 ──
파지|파지하세요.
굴곡|굴곡을 평가하세요.
굴곡압박|굴곡 수동 압박을 하세요.
신전|신전을 평가하세요.
신전압박|신전 수동 압박을 하세요.
시상면평가|시상면 결과를 기록하세요.

# ── 동작2 관상면 ──
관상면파지|측굴 평가를 준비하세요.
우측굴|우측 측굴을 평가하세요.
우측굴압박|우측 측굴 수동 압박을 하세요.
좌측굴|좌측 측굴을 평가하세요.
좌측굴압박|좌측 측굴 수동 압박을 하세요.
관상면평가|관상면 결과를 기록하세요.

# ── 동작3 횡단면 ──
횡단면파지|회전 평가를 준비하세요.
우회전|우측 회전을 평가하세요.
우회전압박|우측 회전 수동 압박을 하세요.
좌회전|좌측 회전을 평가하세요.
좌회전압박|좌측 회전 수동 압박을 하세요.
횡단면평가|횡단면 결과를 기록하세요.
