scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,제1늑골 교정기법,시작,가이드,0,1,0,필요시 [설정]으로 환자 위치를 맞추고 [시작]을 누르세요.,시작,,,,,,,,,,,
1,제1늑골 교정기법,평가,진단,1,1,0,승모근을 엄지로 제끼고 좌우 제1늑골 높이를 비교하세요. 높은 쪽이 상방변위입니다.,진단1,,,xray,,,,,,,,
1,제1늑골 교정기법,평가,진단,1,2,0,양손 엄지를 좌우 제1늑골에 대고 높이 차이를 확인하세요.,,제1늑골 진단,cranialTouch,진단1;hold=3;xray,,,,,,,,
1,제1늑골 교정기법,교정,파지,2,1,0,"왼손 검지 측면으로 좌측 제1늑골을 족방으로 누르고, 오른손으로 머리를 지지하세요.",파지1,,,xray,,,,,,,,
1,제1늑골 교정기법,교정,파지,2,2,0,"왼손은 누른 채, 오른손은 머리를 지지한 채 유지하세요.",,제1늑골 교정,cranialGrip,xray;playOnGrip,제1늑골 고개,,,,,,,
1,제1늑골 교정기법,교정,파지,2,3,0,신전·우측 병진된 자세를 유지하세요.,파지3,,,xray,,,,,,,,
1,제1늑골 교정기법,교정,교정·호흡,3,1,0,환자에게 우측으로 머리를 밀게 하고 5초간 저항하세요.,교정2,,,xray,,,,,,,,
1,제1늑골 교정기법,교정,교정·호흡,3,2,0,환자가 미는 힘에 5초간 저항하며 파지를 유지하세요.,,,cranialPressure,5;xray,,,,,,,,
1,제1늑골 교정기법,교정,교정·호흡,3,3,0,환자가 힘을 빼면 늘어난 범위까지 다시 병진시키세요.,교정3,,,xray,,,,,,,,
1,제1늑골 교정기법,교정,교정·호흡,3,4,0,총 3회 반복하세요.,교정4,,,xray,제1늑골 고개 원복,,,,,,,
1,제1늑골 교정기법,재평가,재평가,4,1,0,좌우 제1늑골 높이가 같아졌는지 다시 촉지하세요.,재평가,,,xray,,,,,,,,
1,제1늑골 교정기법,재평가,재평가,4,2,10,양손 엄지를 좌우 제1늑골에 다시 대고 확인하세요.,,,cranialTouch,진단1;hold=3;xray,,,,,,,,
1,제1늑골 교정기법,종료,가이드,0,1,0,실습을 마칩니다. [메인] 버튼을 누르세요.,종료,,,,,,,,,,,
