scenarioNo,scenarioName,phase,stepName,stepNo,subStepNo,duration,textInstruction,voiceInstruction,handTrackingFileName,conditionType,conditionParams,patientAnimationClip,movementType,videoStartTime,videoEndTime,contactTarget,pivotTarget,pivotPlaneAxis,invertAngle
1,제1늑골_앙와위,시작,가이드,0,1,0,"필요시 [설정] 버튼을 눌러 환자의 위치를 설정합니다
[시작] 버튼을 눌러 실습을 시작합니다",시작,,,,,,,,,,,
1,제1늑골_앙와위,평가,진단,1,1,0,"환자의 승모근을 엄지로 제끼고 양쪽 제1늑골을 두방에서 족방으로 눌러 높이 차이를 비교하세요.
5mm 이상 차이가 나고 높게 올라온 쪽(좌측)을 상방변위로 진단합니다.",진단1,,,,,,,,,,,
1,제1늑골_앙와위,평가,진단,1,2,0,양손 엄지를 좌우 제1늑골에 대고 높이 차이를 확인하세요.,,,cranialTouch,진단1;hold=3,,,,,,,,
1,제1늑골_앙와위,교정,파지,2,1,0,왼손 검지 측면을 좌측 쇄골 중앙 밑으로 넣어 제1늑골 전방에 접촉하세요.,파지1,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,파지,2,2,0,오른손으로 환자의 머리 측면을 잡으세요.,파지2,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,파지,2,3,0,"왼손 검지 측면은 제1늑골 전방에, 오른손은 머리 측면에 댄 파지를 유지하세요. 왼손이 파지점에 닿으면 머리가 신전·우측 병진됩니다.",,,cranialGrip,xray;playOnGrip,제1늑골 고개,,,,,,,
1,제1늑골_앙와위,교정,파지,2,4,0,환자의 머리를 약간 신전시키고 우측으로 병진시키세요.,파지3,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,1,0,왼손 검지 측면으로 좌측 제1늑골을 족방으로 지그시 누르세요.,교정1,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,2,0,왼손 검지 측면으로 제1늑골을 족방으로 누른 상태를 유지하세요.,,,cranialPressure,3;xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,3,0,"환자에게 우측으로 머리를 밀게 하고, 5초간 저항하세요(등척수축).",교정2,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,4,0,환자가 미는 힘에 5초간 저항하며 파지를 유지하세요.,,,cranialPressure,5;xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,5,0,"환자가 힘을 빼면, 늘어난 범위까지 다시 신전 및 우측으로 병진시키세요.",교정3,,,xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,6,0,저항을 푼 뒤 파지를 유지한 채 늘어난 범위까지 다시 신전·병진시키세요.,,,cranialPressure,3;xray,,,,,,,,
1,제1늑골_앙와위,교정,교정·호흡,3,7,0,이 과정을 총 3회 반복하세요.,교정4,,,xray,,,,,,,,
1,제1늑골_앙와위,재평가,재평가,4,1,0,환자의 머리를 한 번 터치하면 고개가 원래 자세로 돌아옵니다.,,,PassiveStretch,touchOnce,제1늑골 고개 원복,,,,Head,,,
1,제1늑골_앙와위,재평가,재평가,4,2,0,좌우 제1늑골의 높이 편차가 없어졌는지 재평가합니다. 기법을 종료합니다.,재평가,,,,,,,,,,,
1,제1늑골_앙와위,재평가,재평가,4,3,10,양손 엄지를 좌우 제1늑골에 다시 대고 높이 편차가 없어졌는지 확인하세요.,,,cranialTouch,진단1;hold=3,,,,,,,,
1,제1늑골_앙와위,종료,가이드,0,1,0,"실습을 마칩니다
[메인] 버튼을 눌러 재시작 혹은 메인으로 이동하세요",종료,,,,,,,,,,,
