# 경추ROM측정 — 교육(초급·중급) 나레이션 문구
#
# 화면 텍스트는 CSV의 textInstruction(° 사용), 나레이션은 이 파일을 쓴다.
# TTS가 '°'를 읽지 못해 갈라 놓은 것이고, 문장 자체는 교육자료 ver0.5 원문 그대로다.
# 생성: generate.py 경추ROM측정 --map Docs/나레이션_교육문구_경추ROM측정.txt --force --write
#
# 형식: voiceInstruction|문구

자세정렬|의자에 앉혀 몸통과 어깨를 정면으로 맞춘다.
파지1|옆면에 서서 이마와 뒤통수를 잡는다.
굴곡|환자가 스스로 고개를 숙인다. 시술자는 축만 지지한다.
굴곡압박|끝 지점에서 힘을 더해 끝느낌을 확인한다.
신전|하늘을 보게 하여 얼굴 정면과 천장의 평행을 본다.
신전압박|신전 끝 지점에서 조금 더 젖혀 최종 가동 범위를 본다.
평가1|45도, 90도 대비 부족한 각도를 기록한다.
파지2|머리 양 측면, 측두부를 가볍게 잡아 정렬을 맞춘다.
우측굴|얼굴은 정면을 유지하고 귀를 어깨로 기울인다.
우측굴압박|능동 끝 지점에서 조금 더 눌러 끝느낌을 확인한다.
좌측굴|같은 절차를 반대쪽에서 그대로 반복한다.
좌측굴압박|반대쪽도 같은 힘으로 압박해 조건을 맞춘다.
평가2|좌우 45도 기준으로 부족한 각도와 대칭성을 함께 본다.
파지3|머리 양측을 받쳐 회전축을 세운 뒤 시작한다. 견봉과 쇄골 부위가 따라 돌지 않는지 확인한다.
우회전|어깨쪽을 바라보도록 몸통은 두고 고개만 돌리게 한다.
우회전압박|회전 끝 지점에서 조금 더 밀어 끝느낌을 확인한다.
좌회전|같은 절차를 반대쪽에서 그대로 반복한다.
좌회전압박|반대쪽도 같은 힘으로 압박해 조건을 맞춘다.
평가3|좌우 90도 기준으로 각도 차이와 보상 여부를 기록한다.
